,Conglomerado,Anio,Estado,Municipio,Causa,ImpactoVegetacion,ImpactoSuelo,ImpactoAgua,Observaciones
17,49755,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
18,49755,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
19,49765,2009,Veracruz de Ignacio de la Llave,Tantima,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Pastizal
20,49765,2009,Veracruz de Ignacio de la Llave,Tantima,Pastoreo,Mayor,Menor,No perceptible,Bovino
21,49988,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Pastoreo,Mediana,Mediana,Menor,Ganado Bovino
22,49998,2009,Veracruz de Ignacio de la Llave,Tantima,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,Pastizal
23,49998,2009,Veracruz de Ignacio de la Llave,Tantima,Pastoreo,Menor,Menor,No perceptible,Bovino
24,50003,2009,Veracruz de Ignacio de la Llave,Tamiahua,Huracanes,Menor,No perceptible,No perceptible,Arboles caidos
25,50217,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Apertura de caminos,Mediana,Mediana,Menor,Vereda
26,50217,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Aprovechamientos forestales,Mediana,Mediana,Menor,Extracción de leña
27,50217,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Uso del suelo diferente al forestal,Mayor,Mayor,No perceptible,Siembra temporal
28,50217,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Incendios,Mayor,Mediana,Menor,Quema agropecuaria
29,50217,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Pastoreo,No perceptible,Menor,No perceptible,Ganado equino
30,50217,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Plagas y enfermedades,Menor,No perceptible,No perceptible,Plantas parásitas
31,50222,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Apertura de caminos,Menor,Menor,No perceptible,Brechas
32,50222,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Huracanes,Menor,No perceptible,No perceptible,Ramas caídas
33,50222,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Incendios,Menor,No perceptible,No perceptible,Quema agropecuaria
34,50222,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
35,50222,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Plagas y enfermedades,Menor,No perceptible,No perceptible,Hongos e insectos
36,50450,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Apertura de caminos,Menor,Menor,No perceptible,Brecha
37,50450,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Extracción de leña
38,50450,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Uso del suelo diferente al forestal,Menor,No perceptible,No perceptible,"Pastoreo, Agricultura temporal"
39,50450,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Huracanes,Menor,No perceptible,No perceptible,Fuertes vientos
40,50450,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Plagas y enfermedades,Mayor,Menor,No perceptible,Insectos
41,50687,2009,Veracruz de Ignacio de la Llave,Chontla,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Pastoreo
42,50687,2009,Veracruz de Ignacio de la Llave,Chontla,Pastoreo,Menor,Menor,No perceptible,Vacuno
43,50692,2009,Veracruz de Ignacio de la Llave,Tamiahua,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Pastizal
44,50692,2009,Veracruz de Ignacio de la Llave,Tamiahua,Pastoreo,Menor,Menor,No perceptible,Bovinos
45,50914,2009,Veracruz de Ignacio de la Llave,Ixcatepec,Pastoreo,Menor,Menor,No perceptible,"Bovino, Equino"
46,50914,2009,Veracruz de Ignacio de la Llave,Ixcatepec,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Seca palo
47,50919,2009,Veracruz de Ignacio de la Llave,Cerro Azul,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Pastoreo
48,50919,2009,Veracruz de Ignacio de la Llave,Cerro Azul,Pastoreo,Mediana,Mediana,No perceptible,Vacuno
49,51139,2009,Veracruz de Ignacio de la Llave,Chiconamel,Apertura de caminos,Menor,Menor,No perceptible,Vereda
50,51139,2009,Veracruz de Ignacio de la Llave,Chiconamel,Uso del suelo diferente al forestal,Mayor,Mayor,Menor,Agricultura temporal
51,51139,2009,Veracruz de Ignacio de la Llave,Chiconamel,Huracanes,Menor,No perceptible,No perceptible,Fuertes vientos
52,51139,2009,Veracruz de Ignacio de la Llave,Chiconamel,Incendios,Mayor,Mediana,Menor,Quema agropecuaria
53,51139,2009,Veracruz de Ignacio de la Llave,Chiconamel,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
54,51154,2009,Veracruz de Ignacio de la Llave,Temapache,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Pastizal
55,51154,2009,Veracruz de Ignacio de la Llave,Temapache,Pastoreo,Mediana,Menor,No perceptible,Bovinos
56,51380,2009,Veracruz de Ignacio de la Llave,Chicontepec,Incendios,Menor,Menor,No perceptible,Regeneración
57,51380,2009,Veracruz de Ignacio de la Llave,Chicontepec,Pastoreo,Mediana,Menor,No perceptible,Vacas
58,51619,2009,Veracruz de Ignacio de la Llave,Temapache,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,Ganaderia extensiva
59,51619,2009,Veracruz de Ignacio de la Llave,Temapache,Lineas Electricas,Menor,No perceptible,No perceptible,Atraviesa por el conglomerado
60,51619,2009,Veracruz de Ignacio de la Llave,Temapache,Pastoreo,Mediana,Menor,No perceptible,Vacuno
61,51624,2009,Veracruz de Ignacio de la Llave,Temapache,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,Agricultura
62,51624,2009,Veracruz de Ignacio de la Llave,Temapache,Incendios,Mediana,No perceptible,No perceptible,Quema agropecuaria
63,51849,2009,Veracruz de Ignacio de la Llave,Temapache,Uso del suelo diferente al forestal,Menor,Menor,Menor,Ganaderia
64,51849,2009,Veracruz de Ignacio de la Llave,Temapache,Pastoreo,Menor,Menor,No perceptible,Vacuno
65,51854,2009,Veracruz de Ignacio de la Llave,Temapache,Uso del suelo diferente al forestal,Mediana,Mediana,No perceptible,Pastizal
66,51854,2009,Veracruz de Ignacio de la Llave,Temapache,Pastoreo,Menor,No perceptible,No perceptible,Bovinos
67,51859,2009,Veracruz de Ignacio de la Llave,Tuxpam,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Pastizal
68,51859,2009,Veracruz de Ignacio de la Llave,Tuxpam,Pastoreo,Menor,Menor,No perceptible,Bovinos
69,52781,2009,Veracruz de Ignacio de la Llave,Chicontepec,Apertura de caminos,Mediana,Mediana,Menor,Brechas
70,52781,2009,Veracruz de Ignacio de la Llave,Chicontepec,Aprovechamientos forestales,Mayor,Mayor,No perceptible,Obtención de leña y frutas
71,52781,2009,Veracruz de Ignacio de la Llave,Chicontepec,Uso del suelo diferente al forestal,Mediana,Mayor,No perceptible,Agricultura
72,52781,2009,Veracruz de Ignacio de la Llave,Chicontepec,Incendios,Menor,No perceptible,No perceptible,Incendios en años anteriores
73,52781,2009,Veracruz de Ignacio de la Llave,Chicontepec,Pastoreo,Mediana,Mediana,No perceptible,Vacas
74,52786,2009,Veracruz de Ignacio de la Llave,Temapache,Apertura de caminos,Menor,Mediana,Mediana,Brechas
75,52786,2009,Veracruz de Ignacio de la Llave,Temapache,Aprovechamientos forestales,Mayor,Mediana,Menor,Extracción de naranja
76,52786,2009,Veracruz de Ignacio de la Llave,Temapache,Uso del suelo diferente al forestal,Mayor,Mediana,Mayor,Huertas citricolas
77,52786,2009,Veracruz de Ignacio de la Llave,Temapache,Pastoreo,Mediana,Mediana,Menor,Vacas
78,53013,2009,Veracruz de Ignacio de la Llave,Benito Juarez,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Agricultura
79,53013,2009,Veracruz de Ignacio de la Llave,Benito Juarez,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
80,53251,2009,Veracruz de Ignacio de la Llave,Ixhuatlán de Madero,Apertura de caminos,Mediana,Mediana,No perceptible,Brecha hacia las huertas
81,53251,2009,Veracruz de Ignacio de la Llave,Ixhuatlán de Madero,Aprovechamientos forestales,Mayor,Mayor,Menor,cosechas y leña
82,53251,2009,Veracruz de Ignacio de la Llave,Ixhuatlán de Madero,Uso del suelo diferente al forestal,Mayor,Mayor,Menor,Parcelas maiz y citricos
83,53707,2009,Veracruz de Ignacio de la Llave,Zontecomatlán de Lopez y Fue,Uso del suelo diferente al forestal,Menor,No perceptible,No perceptible,Pastoreo
84,53707,2009,Veracruz de Ignacio de la Llave,Zontecomatlán de Lopez y Fue,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
85,53707,2009,Veracruz de Ignacio de la Llave,Zontecomatlán de Lopez y Fue,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Plantas parasitas
86,53722,2009,Veracruz de Ignacio de la Llave,Castillo de Teayo,Apertura de caminos,Mediana,Mediana,No perceptible,Veredas
87,53722,2009,Veracruz de Ignacio de la Llave,Castillo de Teayo,Aprovechamientos forestales,Mayor,Mayor,Menor,Obtención de citricos
88,53722,2009,Veracruz de Ignacio de la Llave,Castillo de Teayo,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Huertas citricolas
89,53722,2009,Veracruz de Ignacio de la Llave,Castillo de Teayo,Pastoreo,Menor,Menor,No perceptible,Vacas
90,54402,2009,Veracruz de Ignacio de la Llave,Zacualpan,Apertura de caminos,Mediana,Menor,No perceptible,Brecha
91,54402,2009,Veracruz de Ignacio de la Llave,Zacualpan,Aprovechamientos forestales,Mediana,Mayor,Menor,"Cosechas, postes, cercas vivas"
92,54402,2009,Veracruz de Ignacio de la Llave,Zacualpan,Asentamientos humanos,Mayor,Mayor,Menor,"Casas, escuela, cercas"
93,54402,2009,Veracruz de Ignacio de la Llave,Zacualpan,Uso del suelo diferente al forestal,Mayor,Mayor,Menor,"Potrero, cultivos (caña, platano)"
94,54402,2009,Veracruz de Ignacio de la Llave,Zacualpan,Lineas Electricas,Menor,Menor,No perceptible,Alimentación electrica a casa y escuela
95,54402,2009,Veracruz de Ignacio de la Llave,Zacualpan,Pastoreo,Mayor,Mayor,Menor,"Vacas, ovejas, puercos, guajolotes y gallinas"
96,54417,2009,Veracruz de Ignacio de la Llave,Tihuatlan,Apertura de caminos,Mediana,Menor,No perceptible,Brechas
97,54417,2009,Veracruz de Ignacio de la Llave,Tihuatlan,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,Huerto de naranja
98,54633,2009,Veracruz de Ignacio de la Llave,Huayacocotla,Apertura de caminos,Menor,Menor,No perceptible,Veredas
99,54633,2009,Veracruz de Ignacio de la Llave,Huayacocotla,Uso del suelo diferente al forestal,Menor,No perceptible,No perceptible,Pastoreo
100,54633,2009,Veracruz de Ignacio de la Llave,Huayacocotla,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
101,54658,2009,Veracruz de Ignacio de la Llave,Papantla,Apertura de caminos,Mediana,Menor,No perceptible,Brecha
102,54658,2009,Veracruz de Ignacio de la Llave,Papantla,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Huerto de naranja
103,54658,2009,Veracruz de Ignacio de la Llave,Papantla,Lineas Electricas,Menor,No perceptible,No perceptible,Linea de transmision electrica
104,54878,2009,Veracruz de Ignacio de la Llave,Zacualpan,Apertura de caminos,Menor,Menor,No perceptible,Veredas por el conglomerado
105,54878,2009,Veracruz de Ignacio de la Llave,Zacualpan,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Leña
106,54878,2009,Veracruz de Ignacio de la Llave,Zacualpan,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Pastoreo
107,54878,2009,Veracruz de Ignacio de la Llave,Zacualpan,Pastoreo,Menor,Menor,No perceptible,Presencia de ganado bovino
108,54878,2009,Veracruz de Ignacio de la Llave,Zacualpan,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Plantas parásitas
109,55618,2009,Puebla,Zihuateutla,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,cultivo de café
110,55618,2009,Puebla,Zihuateutla,Plagas y enfermedades,Menor,No perceptible,No perceptible,descortezadores
111,55638,2009,Veracruz de Ignacio de la Llave,Tecolutla,Inundaciones,Mediana,Mediana,No perceptible,NC
112,55638,2009,Veracruz de Ignacio de la Llave,Tecolutla,Pastoreo,Mediana,Menor,No perceptible,ganado bovino
113,56600,2009,Puebla,Ayotoxco de Guerrero,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Agricultura de temporal
114,56600,2009,Puebla,Ayotoxco de Guerrero,Pastoreo,Mediana,Menor,No perceptible,Ganado bovino
115,56844,2009,Puebla,San Felipe Tepatlan,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
116,57094,2009,Puebla,Chiconcuautla,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Defoliador y plantas parásitas
117,57595,2009,Puebla,Zacatlan,Apertura de caminos,Menor,Menor,No perceptible,Brechas
118,57605,2009,Puebla,Zacapoaxtla,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,Terreno para elpastoreo
119,57605,2009,Puebla,Zacapoaxtla,Pastoreo,Mediana,Mediana,No perceptible,Caballos
120,57615,2009,Veracruz de Ignacio de la Llave,Atzalan,Uso del suelo diferente al forestal,Mayor,Mediana,Mediana,Potreros
121,57615,2009,Veracruz de Ignacio de la Llave,Atzalan,Pastoreo,Mayor,Mediana,Mediana,Ganado vacuno
122,57848,2009,Puebla,Zacatlan,Apertura de caminos,Menor,Menor,No perceptible,veredas
123,57848,2009,Puebla,Zacatlan,Aprovechamientos forestales,Menor,Menor,No perceptible,extraccion de leña
124,57848,2009,Puebla,Zacatlan,Asentamientos humanos,Mayor,Mayor,Mayor,casas habitación
125,57848,2009,Puebla,Zacatlan,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,asentamientos humanos
126,57853,2009,Puebla,Xochitlan de Vicente Suarez,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,De forestal a ganadería
127,57853,2009,Puebla,Xochitlan de Vicente Suarez,Incendios,Menor,No perceptible,No perceptible,Incendio superficial
128,57853,2009,Puebla,Xochitlan de Vicente Suarez,Pastoreo,Mediana,Mediana,No perceptible,Pastan vacas
129,57868,2009,Veracruz de Ignacio de la Llave,Atzalan,Uso del suelo diferente al forestal,Mediana,Mediana,No perceptible,Potrero
130,57868,2009,Veracruz de Ignacio de la Llave,Atzalan,Pastoreo,Mediana,Mediana,No perceptible,Ganaderia extensiva
131,58112,2009,Puebla,Teziutlan,Pastoreo,Mayor,Mediana,Menor,Ganado vacuno.
132,58346,2009,Puebla,Chignahuapan,Apertura de caminos,Mediana,Menor,No perceptible,Brecha
133,58346,2009,Puebla,Chignahuapan,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Cultivo de cebada y maíz
134,58351,2009,Puebla,Chignahuapan,Apertura de caminos,Mediana,Menor,No perceptible,Brecha
135,58351,2009,Puebla,Chignahuapan,Incendios,No perceptible,No perceptible,No perceptible,Incendio superficial
136,58356,2009,Puebla,Tetela de Ocampo,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,"Terrenos abandonado, cultivo temporal Huerte de durazno ahora."
137,58361,2009,Puebla,Tlatlauquitepec,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Terreno cultivo de maíz.
138,58371,2009,Veracruz de Ignacio de la Llave,Altotonga,Uso del suelo diferente al forestal,Mayor,Mayor,Mayor,Ganaderia extensiva (potreros)
139,58371,2009,Veracruz de Ignacio de la Llave,Altotonga,Pastoreo,Mayor,Mayor,Mayor,Ganado vacuno y bovino
140,58376,2009,Veracruz de Ignacio de la Llave,Chiconquiaco,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
141,58381,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Extracción de leña
142,58381,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Uso del suelo diferente al forestal,Mediana,Mediana,No perceptible,Potrero
143,58381,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Incendios,Mediana,No perceptible,No perceptible,Quemas agropecuarias
144,58381,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
145,58381,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
146,58604,2009,Puebla,Aquixtla,Apertura de caminos,Menor,No perceptible,No perceptible,Veredas
147,58604,2009,Puebla,Aquixtla,Huracanes,Menor,No perceptible,No perceptible,Vientos
148,58609,2009,Puebla,Zautla,Apertura de caminos,Menor,Menor,No perceptible,Vereda
149,58609,2009,Puebla,Zautla,Aprovechamientos forestales,Mediana,Mediana,No perceptible,Carbón de encino y leña
150,58629,2009,Veracruz de Ignacio de la Llave,Chiconquiaco,Aprovechamientos forestales,No perceptible,No perceptible,No perceptible,Extracción de leña
151,58629,2009,Veracruz de Ignacio de la Llave,Chiconquiaco,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
152,58629,2009,Veracruz de Ignacio de la Llave,Chiconquiaco,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
153,58629,2009,Veracruz de Ignacio de la Llave,Chiconquiaco,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
154,58854,2009,Puebla,Chignahuapan,Apertura de caminos,Mediana,Menor,No perceptible,Brecha
155,58854,2009,Puebla,Chignahuapan,Aprovechamientos forestales,Menor,Menor,No perceptible,Extracción de madera
156,58854,2009,Puebla,Chignahuapan,Incendios,Menor,Menor,No perceptible,Incendio superficial
157,58874,2009,Veracruz de Ignacio de la Llave,Tatatila,Incendios,Menor,No perceptible,No perceptible,Años anteriores
158,58874,2009,Veracruz de Ignacio de la Llave,Tatatila,Pastoreo,Mediana,Menor,Menor,Ganado vacuno
159,58874,2009,Veracruz de Ignacio de la Llave,Tatatila,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
160,58884,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Uso del suelo diferente al forestal,Mediana,No perceptible,No perceptible,Pastizal inducido
161,58884,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
162,58884,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Incendios,Menor,No perceptible,No perceptible,Árboles dañados
163,58884,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
164,58884,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
165,59108,2009,Puebla,Ixtacamaxtitlan,Incendios,No perceptible,No perceptible,No perceptible,Incendio Superficial
166,59128,2009,Veracruz de Ignacio de la Llave,Tlacolulan,Apertura de caminos,Menor,Menor,No perceptible,Vereda
167,59128,2009,Veracruz de Ignacio de la Llave,Tlacolulan,Aprovechamientos forestales,Menor,No perceptible,No perceptible,Tala clandestina
168,59128,2009,Veracruz de Ignacio de la Llave,Tlacolulan,Huracanes,Menor,No perceptible,No perceptible,Vientos
169,59128,2009,Veracruz de Ignacio de la Llave,Tlacolulan,Pastoreo,Menor,No perceptible,No perceptible,Ganado vacuno
170,59128,2009,Veracruz de Ignacio de la Llave,Tlacolulan,Plagas y enfermedades,Mediana,No perceptible,No perceptible,Insectos
171,59133,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Aprovechamientos forestales,Menor,Menor,No perceptible,Extraccion de postes
172,59133,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,pastizal inducido
173,59133,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
174,59133,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Pastoreo,Menor,Menor,No perceptible,Ganado vacuno
175,59133,2009,Veracruz de Ignacio de la Llave,Alto Lucero de Gutierrez Bar,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos y hongos
176,59372,2009,Veracruz de Ignacio de la Llave,Perote,Apertura de caminos,Menor,No perceptible,No perceptible,Brechas
177,59372,2009,Veracruz de Ignacio de la Llave,Perote,Incendios,Menor,No perceptible,No perceptible,Incendios
178,59372,2009,Veracruz de Ignacio de la Llave,Perote,Pastoreo,Menor,No perceptible,No perceptible,Ganado caprino
179,59372,2009,Veracruz de Ignacio de la Llave,Perote,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
180,59382,2009,Veracruz de Ignacio de la Llave,Jilotepec,Uso del suelo diferente al forestal,Mediana,Mediana,No perceptible,Potrero y cultivo de temporal
181,59382,2009,Veracruz de Ignacio de la Llave,Jilotepec,Pastoreo,Mediana,Mediana,No perceptible,Ganado vacuno y bovino
182,59382,2009,Veracruz de Ignacio de la Llave,Jilotepec,Plagas y enfermedades,Mayor,Mediana,No perceptible,Insectos y plantas parásitas
183,59626,2009,Veracruz de Ignacio de la Llave,Perote,Apertura de caminos,Mediana,Menor,No perceptible,Brechas tipo corta fuego
184,59626,2009,Veracruz de Ignacio de la Llave,Perote,Uso del suelo diferente al forestal,Mayor,Mediana,No perceptible,Area de pastizal
185,59626,2009,Veracruz de Ignacio de la Llave,Perote,Lineas Electricas,Menor,Menor,No perceptible,Torres de alta tensión
186,59631,2009,Veracruz de Ignacio de la Llave,Acajete,Apertura de caminos,Mediana,Mayor,No perceptible,Veredas para ganado
187,59631,2009,Veracruz de Ignacio de la Llave,Acajete,Aprovechamientos forestales,Mayor,Mediana,No perceptible,Obtención de leña
188,59631,2009,Veracruz de Ignacio de la Llave,Acajete,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Pastizal
189,59631,2009,Veracruz de Ignacio de la Llave,Acajete,Incendios,No perceptible,No perceptible,No perceptible,Superficial
190,59631,2009,Veracruz de Ignacio de la Llave,Acajete,Pastoreo,Mayor,Mediana,No perceptible,Ganado vacuno
191,59631,2009,Veracruz de Ignacio de la Llave,Acajete,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
192,59878,2009,Veracruz de Ignacio de la Llave,Perote,Aprovechamientos forestales,No perceptible,No perceptible,No perceptible,"Autoconsumo, leña, tala clandestina"
193,60117,2009,Puebla,Ixtacamaxtitlan,Apertura de caminos,Mediana,Menor,No perceptible,Brecha saca madera fuera de uso
194,60117,2009,Puebla,Ixtacamaxtitlan,Aprovechamientos forestales,Mediana,Menor,No perceptible,Madera
195,60117,2009,Puebla,Ixtacamaxtitlan,Huracanes,Mediana,No perceptible,No perceptible,Afectacion por viento
196,60142,2009,Veracruz de Ignacio de la Llave,Actopan,Aprovechamientos forestales,Mediana,Menor,No perceptible,Extraccion de postes
197,60142,2009,Veracruz de Ignacio de la Llave,Actopan,Huracanes,No perceptible,No perceptible,No perceptible,Fuertes vientos
198,60142,2009,Veracruz de Ignacio de la Llave,Actopan,Incendios,Menor,No perceptible,No perceptible,Quema agropecuaria
199,60142,2009,Veracruz de Ignacio de la Llave,Actopan,Pastoreo,Mediana,Menor,No perceptible,Ganado vacuno
200,60142,2009,Veracruz de Ignacio de la Llave,Actopan,Plagas y enfermedades,No perceptible,No perceptible,No perceptible,Insectos
201,60642,2009,Veracruz de Ignacio de la Llave,Coatepec,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Cultivo de caña
202,60642,2009,Veracruz de Ignacio de la Llave,Coatepec,Incendios,Menor,Menor,No perceptible,Superficial (quema de Caña)
203,60652,2009,Veracruz de Ignacio de la Llave,Puente Nacional,Uso del suelo diferente al forestal,Mediana,Menor,No perceptible,Agricultura de temporal
204,60888,2009,Puebla,Lafragua,Aprovechamientos forestales,Menor,Menor,No perceptible,Resina
205,60888,2009,Puebla,Lafragua,Huracanes,Mediana,Menor,No perceptible,Arboles caidos
206,60888,2009,Puebla,Lafragua,Incendios,Mediana,Menor,No perceptible,Superficial
207,61142,2009,Puebla,Chilchotla,Aprovechamientos forestales,Mediana,Menor,No perceptible,"Madera, leña"
208,61147,2009,Veracruz de Ignacio de la Llave,Tlaltetela,Uso del suelo diferente al forestal,Mediana,Mayor,No perceptible,"Roza, tumba (maíz y café)"
209,61147,2009,Veracruz de Ignacio de la Llave,Tlaltetela,Incendios,Mediana,Mediana,No perceptible,Superficial y quemas agropecuarias
210,61147,2009,Veracruz de Ignacio de la Llave,Tlaltetela,Pastoreo,Mediana,Menor,No perceptible,"Vacas, cabras"
211,61147,2009,Veracruz de Ignacio de la Llave,Tlaltetela,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
212,61622,2009,Puebla,San Martin Texmelucan,Apertura de caminos,Menor,Menor,No perceptible,Caminos vecinales
213,61622,2009,Puebla,San Martin Texmelucan,Pastoreo,Mediana,Menor,No perceptible,Vacuno
214,61642,2009,Puebla,San Nicolas Buenos Aires,Uso del suelo diferente al forestal,Mediana,Mediana,Menor,Agricultura de riego
